method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-1.0,a0.00_sn1.0,0.0,0.8928,0.7708,726.41,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.9,a0.00_sn0.9,0.0,0.8915,0.7706,722.06,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.8,a0.00_sn0.8,0.0,0.8899,0.7668,719.02,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.7,a0.00_sn0.7,0.0,0.891,0.7665,714.88,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.6,a0.00_sn0.6,0.0,0.8895,0.7727,711.72,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.5,a0.00_sn0.5,0.0,0.8965,0.7759,705.59,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.4,a0.00_sn0.4,0.0,0.8846,0.7676,702.17,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.3,a0.00_sn0.3,0.0,0.8589,0.7274,699.51,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.2,a0.00_sn0.2,0.0,0.8391,0.7225,717.15,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.1,a0.00_sn0.1,0.0,0.8301,0.7222,739.14,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,-0.0,a0.00_sn0.0,0.0,0.805,0.7343,742.19,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.1,a0.00_sp0.1,30.0,0.7489,0.7221,742.85,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.2,a0.00_sp0.2,20.0,0.6997,0.686,762.53,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.3,a0.00_sp0.3,35.0,0.6811,0.6778,762.94,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.4,a0.00_sp0.4,55.0,0.6711,0.6617,766.25,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.5,a0.00_sp0.5,75.0,0.6474,0.6382,765.81,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.6,a0.00_sp0.6,100.0,0.6104,0.6023,770.15,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.7,a0.00_sp0.7,100.0,0.5816,0.5726,773.55,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.8,a0.00_sp0.8,100.0,0.5565,0.5541,774.63,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,0.9,a0.00_sp0.9,100.0,0.5449,0.5549,774.42,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.0,1.0,a0.00_sp1.0,90.0,0.5319,0.5544,772.6,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.00_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-1.0,a0.05_sn1.0,0.0,0.843,0.7105,776.28,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.9,a0.05_sn0.9,0.0,0.8736,0.7825,721.79,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.8,a0.05_sn0.8,0.0,0.7868,0.6894,773.94,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.7,a0.05_sn0.7,10.0,0.7295,0.6657,715.09,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.6,a0.05_sn0.6,0.0,0.7651,0.7028,663.07,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.5,a0.05_sn0.5,35.0,0.769,0.716,691.42,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.4,a0.05_sn0.4,25.0,0.7198,0.7043,711.78,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.3,a0.05_sn0.3,40.0,0.7419,0.7217,740.46,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.2,a0.05_sn0.2,65.0,0.7837,0.7843,757.38,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.1,a0.05_sn0.1,35.0,0.679,0.6751,709.47,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,-0.0,a0.05_sn0.0,55.0,0.6687,0.7073,712.92,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.1,a0.05_sp0.1,85.0,0.6438,0.6956,706.36,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.2,a0.05_sp0.2,70.0,0.6246,0.6772,701.87,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.3,a0.05_sp0.3,65.0,0.6097,0.6587,695.93,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.4,a0.05_sp0.4,90.0,0.5945,0.649,691.35,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.5,a0.05_sp0.5,70.0,0.581,0.6504,689.48,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.6,a0.05_sp0.6,85.0,0.5757,0.6437,688.74,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.7,a0.05_sp0.7,80.0,0.5552,0.6247,683.65,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.8,a0.05_sp0.8,100.0,0.5543,0.6195,679.41,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,0.9,a0.05_sp0.9,1650.0,0.5464,0.6179,676.64,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.05,1.0,a0.05_sp1.0,1115.0,0.5252,0.6034,673.95,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.05_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-1.0,a0.10_sn1.0,60.0,0.8302,0.7637,755.48,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.9,a0.10_sn0.9,45.0,0.7508,0.6598,739.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.8,a0.10_sn0.8,70.0,0.7635,0.707,774.81,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.7,a0.10_sn0.7,40.0,0.7678,0.7306,785.57,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.6,a0.10_sn0.6,25.0,0.7541,0.7242,764.38,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.5,a0.10_sn0.5,40.0,0.6926,0.6896,736.52,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.4,a0.10_sn0.4,55.0,0.6535,0.6698,732.91,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.3,a0.10_sn0.3,65.0,0.6352,0.6657,728.1,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.2,a0.10_sn0.2,95.0,0.5909,0.6344,715.16,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.1,a0.10_sn0.1,100.0,0.5755,0.6292,706.95,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,-0.0,a0.10_sn0.0,90.0,0.5376,0.606,704.04,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.1,a0.10_sp0.1,90.0,0.5158,0.5866,697.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.2,a0.10_sp0.2,105.0,0.4911,0.5699,692.03,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.3,a0.10_sp0.3,105.0,0.465,0.551,686.45,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.4,a0.10_sp0.4,130.0,0.4311,0.514,680.89,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.5,a0.10_sp0.5,85.0,0.3836,0.4781,674.95,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.6,a0.10_sp0.6,120.0,0.3507,0.4466,667.52,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.7,a0.10_sp0.7,1325.0,0.3053,0.4059,658.32,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.8,a0.10_sp0.8,995.0,0.2806,0.3898,653.08,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,0.9,a0.10_sp0.9,95.0,0.2641,0.3861,649.21,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.1,1.0,a0.10_sp1.0,1115.0,0.2561,0.3816,646.14,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.10_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-1.0,a0.15_sn1.0,55.0,0.6942,0.6312,738.86,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.9,a0.15_sn0.9,45.0,0.7412,0.6633,769.99,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.8,a0.15_sn0.8,55.0,0.7209,0.659,766.51,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.7,a0.15_sn0.7,35.0,0.6306,0.6024,735.32,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.6,a0.15_sn0.6,65.0,0.6106,0.6109,737.82,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.5,a0.15_sn0.5,85.0,0.5619,0.5792,725.16,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.4,a0.15_sn0.4,100.0,0.5138,0.5373,715.83,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.3,a0.15_sn0.3,100.0,0.4879,0.5175,710.67,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.2,a0.15_sn0.2,100.0,0.4628,0.5029,704.59,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.1,a0.15_sn0.1,100.0,0.4268,0.467,697.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,-0.0,a0.15_sn0.0,95.0,0.356,0.4039,691.41,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.1,a0.15_sp0.1,95.0,0.2996,0.359,685.43,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.2,a0.15_sp0.2,95.0,0.2638,0.332,679.7,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.3,a0.15_sp0.3,100.0,0.2398,0.3202,673.86,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.4,a0.15_sp0.4,100.0,0.2251,0.3085,667.11,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.5,a0.15_sp0.5,100.0,0.2138,0.304,660.58,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.6,a0.15_sp0.6,100.0,0.201,0.2974,654.52,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.7,a0.15_sp0.7,100.0,0.1991,0.3051,650.14,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.8,a0.15_sp0.8,100.0,0.1981,0.3126,647.04,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.9,a0.15_sp0.9,100.0,0.1947,0.3227,645.03,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,1.0,a0.15_sp1.0,100.0,0.1939,0.3394,644.92,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-1.0,a0.20_sn1.0,40.0,0.6842,0.5954,754.95,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.9,a0.20_sn0.9,40.0,0.6214,0.5661,738.58,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.9.wav
